State,Participation,English,Math,Reading,Science,Composite
Alabama,1,18.9,18.3,19.6,19,19.1
Alaska,0.33,19.8,20.6,21.6,20.7,20.8
Arizona,0.66,18.2,19.4,19.5,19.2,19.2
Arkansas,1,19.1,18.9,19.7,19.4,19.4
California,0.27,22.5,22.5,23,22.1,22.7
Colorado,0.3,23.9,23.2,24.4,23.5,23.9
Connecticut,0.26,26,24.8,26.1,24.9,25.6
Delaware,0.17,23.7,23.1,24.5,23.4,23.2
District of Columbia,0.32,23.7,22.7,24.4,23,23.6
Florida,0.66,19.2,19.3,21.1,19.5,19.9
Georgia,0.53,20.9,20.7,21.2,21.4,21.4
Hawaii,0.89,18.2,19,19.1,19,18.9
Idaho,0.36,21.9,21.6,23.2,22.1,22.3
Illinois,0.43,24.1,23.4,24.2,23.4,23.9
Indiana,0.32,21.9,22.3,23.1,22.2,22.5
Iowa,0.68,21,21.2,22.5,22,21.8
Kansas,0.71,21,21.1,22.3,21.5,21.6
Kentucky,1,19.9,19.7,20.8,20.1,20.2
Louisiana,1,19,18.5,19.6,19.1,19.2
Maine,0.07,23.8,23.6,24.7,23.4,24
Maryland,0.31,22.1,22,23.1,22.2,22.5
Massachusetts,0.25,25.5,25.2,25.9,24.7,25.5
Michigan,0.22,24.5,23.9,24.7,23.9,24.4
Minnesota,0.99,20.2,21.4,21.7,21.4,21.3
Mississippi,1,18.2,18.1,18.9,18.6,18.6
Missouri,1,19.5,19.7,20.5,20,20
Montana,1,18.7,19.9,20.7,20,20
Nebraska,1,19.4,19.8,20.4,20.1,20.1
Nevada,1,16.6,17.8,18,17.9,17.7
New Hampshire,0.16,25.1,24.7,25.6,24.4,25.1
New Jersey,0.31,23.8,23.6,24,23,23.7
New Mexico,0.67,18.3,19.1,20.1,19.7,19.4
New York,0.27,24.2,24.2,24.9,24.2,24.5
North Carolina,1,18,19.3,19.5,19.2,19.1
North Dakota,0.98,19.1,20.3,20.7,20.5,20.3
Ohio,1,19.3,20.3,20.8,20.4,20.3
Oklahoma,1,18.4,18.8,20.1,19.4,19.3
Oregon,0.42,20.6,20.9,21.9,21.1,21.3
Pennsylvania,0.2,23.3,23.2,24,23.1,23.5
Rhode Island,0.15,24.4,23.6,25,23.5,24.2
South Carolina,1,17.3,18.2,18.6,18.5,18.3
South Dakota,0.77,20.8,21.6,22.4,22.2,21.9
Tennessee,1,19.4,19.1,19.9,19.6,19.6
Texas,0.41,19.6,20.6,21.1,20.8,20.6
Utah,1,19.7,19.9,20.9,20.5,20.4
Vermont,0.24,23.9,23.4,24.9,23.8,24.1
Virginia,0.24,23.8,23.3,24.7,23.5,23.9
Washington,0.24,21.4,22.2,22.7,22,22.2
West Virginia,0.65,19.8,19.4,21.3,20.4,20.3
Wisconsin,1,19.8,20.3,20.6,20.8,20.5
Wyoming,1,19,19.7,20.6,20.3,20
National,0.55,20.2,20.5,21.3,20.7,20.8
