,MS SubClass,MS Zoning,Street,Alley,Land Contour,Lot Config,Neighborhood,Condition 1,Condition 2,Bldg Type,House Style,Overall Qual,Roof Style,Roof Matl,Exterior 1st,Exterior 2nd,Mas Vnr Type,Exter Qual,Foundation,Bsmt Qual,Total Bsmt SF,Heating,Central Air,1st Flr SF,Gr Liv Area,Full Bath,Kitchen Qual,TotRms AbvGrd,Fireplaces,Fireplace Qu,Garage Type,Garage Finish,Garage Cars,Garage Area,Open Porch SF,Misc Feature,Sale Type,House Age,Remod Age,SalePrice
0,60,RL,Pave,None,Lvl,CulDSac,Sawyer,RRAe,Norm,1Fam,2Story,6.0,Gable,CompShg,HdBoard,Plywood,BrkFace,3,CBlock,3,725.0,GasA,Y,725.0,1479.0,2.0,3,6.0,0.0,0,Attchd,2,2.0,475.0,44.0,None,WD ,34.0,5.0,130500.0
1,60,RL,Pave,None,Lvl,CulDSac,SawyerW,Norm,Norm,1Fam,2Story,7.0,Gable,CompShg,VinylSd,VinylSd,BrkFace,3,PConc,4,913.0,GasA,Y,913.0,2122.0,2.0,3,8.0,1.0,3,Attchd,2,2.0,559.0,74.0,None,WD ,13.0,12.0,220000.0
2,20,RL,Pave,None,Lvl,Inside,NAmes,Norm,Norm,1Fam,1Story,5.0,Gable,CompShg,VinylSd,VinylSd,None,2,CBlock,3,1057.0,GasA,Y,1057.0,1057.0,1.0,3,5.0,0.0,0,Detchd,1,1.0,246.0,52.0,None,WD ,57.0,3.0,109000.0
3,60,RL,Pave,None,Lvl,Inside,Timber,Norm,Norm,1Fam,2Story,5.0,Gable,CompShg,VinylSd,VinylSd,None,2,PConc,4,384.0,GasA,Y,744.0,1444.0,2.0,2,7.0,0.0,0,BuiltIn,3,2.0,400.0,0.0,None,WD ,4.0,3.0,174000.0
4,50,RL,Pave,None,Lvl,Inside,SawyerW,Norm,Norm,1Fam,1.5Fin,6.0,Gable,CompShg,Wd Sdng,Plywood,None,2,PConc,2,676.0,GasA,Y,831.0,1445.0,2.0,2,6.0,0.0,0,Detchd,1,2.0,484.0,59.0,None,WD ,110.0,17.0,138500.0
6,180,RM,Pave,None,Lvl,Inside,Edwards,Norm,Norm,TwnhsE,SFoyer,6.0,Gable,CompShg,VinylSd,VinylSd,BrkFace,2,PConc,4,547.0,GasA,Y,1072.0,1072.0,2.0,2,5.0,0.0,0,Basment,3,2.0,525.0,44.0,None,New,1.0,0.0,140000.0
7,20,RL,Pave,None,Lvl,Inside,NAmes,Norm,Norm,1Fam,1Story,5.0,Hip,CompShg,Plywood,Plywood,BrkFace,2,CBlock,3,1188.0,GasA,Y,1188.0,1188.0,1.0,2,6.0,0.0,0,Attchd,2,2.0,531.0,0.0,None,COD,51.0,51.0,142000.0
8,20,RL,Pave,None,Lvl,Inside,OldTown,Artery,Norm,1Fam,1Story,5.0,Gable,CompShg,Wd Sdng,Wd Sdng,None,2,CBlock,3,924.0,GasA,Y,924.0,924.0,1.0,2,6.0,0.0,0,Detchd,1,1.0,420.0,324.0,Shed,WD ,55.0,55.0,112500.0
9,60,RL,Pave,None,HLS,Inside,NAmes,Norm,Norm,1Fam,2Story,5.0,Gable,CompShg,Plywood,Plywood,BrkFace,2,PConc,4,1040.0,GasA,Y,1040.0,2080.0,1.0,1,9.0,2.0,3,Attchd,1,2.0,504.0,0.0,None,WD ,38.0,38.0,135000.0
11,20,RL,Pave,None,Lvl,Inside,CollgCr,Norm,Norm,1Fam,1Story,7.0,Gable,CompShg,VinylSd,VinylSd,None,3,PConc,4,1208.0,GasA,Y,1208.0,1208.0,2.0,3,6.0,0.0,0,Attchd,2,2.0,632.0,58.0,None,WD ,1.0,1.0,183600.0
