,word,word_count
0,credit,184
1,debt,178
2,loan,148
3,car,133
4,pay,108
5,help,107
6,question,105
7,card,100
8,need,91
9,advice,88
10,year,80
11,student,77
12,new,72
13,money,69
14,account,69
15,step,65
16,month,64
17,saving,62
18,job,60
19,get,59
20,dave,59
21,bs2,59
22,baby,55
23,house,54
24,fund,53
25,tax,53
26,401k,53
27,mortgage,52
28,insurance,52
29,im,50
30,home,48
31,ira,46
32,paid,45
33,first,43
34,financial,43
35,best,42
36,v,42
37,roth,39
38,time,39
39,score,39
40,payment,38
41,budget,38
42,one,36
43,paying,35
44,much,35
45,want,35
46,plan,34
47,2,34
48,bank,34
49,retirement,33
50,getting,33
51,free,31
52,good,30
53,dont,30
54,back,30
55,old,30
56,make,29
57,buy,29
58,u,28
59,go,28
60,way,28
61,collection,28
62,emergency,27
63,interest,27
64,start,26
65,income,26
66,would,26
67,cash,26
68,bill,25
69,ramsey,25
70,got,25
71,college,24
72,3,24
73,finance,24
74,work,24
75,please,24
76,invest,24
77,moving,23
78,looking,23
79,buying,23
80,going,22
81,next,22
82,life,22
83,company,21
84,take,21
85,parent,20
86,worth,19
87,investing,19
88,personal,19
89,know,19
90,school,19
91,save,19
92,still,18
93,feel,18
94,received,18
95,use,18
96,medical,17
97,bs3,17
98,employer,17
99,situation,17
100,move,17
101,bad,17
102,starting,17
103,stock,17
104,daves,17
105,paycheck,17
106,sell,16
107,right,16
108,state,16
109,refinance,16
110,anyone,16
111,offer,16
112,health,16
113,taking,15
114,high,15
115,option,15
116,rate,15
117,success,15
118,update,15
119,balance,15
120,rental,14
121,like,14
122,4,14
123,vehicle,14
124,monday,14
125,idea,14
126,investment,14
127,saturday,14
128,6,14
129,rent,14
130,moronic,14
131,15,13
132,making,13
133,monthly,13
134,check,13
135,trying,13
136,online,13
137,long,13
138,20,13
139,extra,13
140,side,13
141,bs1,13
142,without,12
143,today,12
144,afford,12
145,really,12
146,whats,12
147,auto,12
148,selling,12
149,hsa,12
150,using,12
151,regarding,12
152,keep,12
153,end,12
154,ago,12
155,someone,12
156,refinancing,11
157,owe,11
158,purchase,11
159,cant,11
160,property,11
161,fee,11
162,wife,11
163,two,11
164,feeling,11
165,salary,11
166,cost,11
167,budgeting,11
168,irs,11
169,snowball,11
170,rollover,11
171,vanguard,10
172,put,10
173,finally,10
174,market,10
175,suggestion,10
176,expense,10
177,cc,10
178,contribution,10
179,report,10
180,w4,10
181,week,10
182,sale,10
183,another,10
184,care,10
185,5,10
186,started,10
187,lower,10
188,family,10
189,give,9
190,capital,9
191,never,9
192,done,9
193,find,9
194,b,9
195,1,9
196,open,9
197,friend,9
198,0,9
199,point,9
200,bs4,9
201,small,9
202,program,9
203,recent,9
204,even,9
205,tell,9
206,pension,9
207,total,9
208,dad,9
209,career,9
210,debit,9
211,made,9
212,lease,9
213,due,9
214,ive,9
215,financially,9
216,order,9
217,every,9
218,call,9
219,transfer,9
220,understand,8
221,thinking,8
222,enough,8
223,living,8
224,people,8
225,match,8
226,needed,8
227,day,8
228,little,8
229,recommendation,8
230,else,8
231,strategy,8
232,show,8
233,letter,8
234,hustle,8
235,dollar,8
236,uk,8
237,book,8
238,well,8
239,deposit,8
240,mom,8
241,wwdd,8
242,cut,8
243,business,8
244,payoff,8
245,tip,8
246,grad,8
247,dr,8
248,found,8
249,real,8
250,negotiating,8
251,different,8
252,estate,8
253,working,8
254,raise,8
255,live,8
256,second,8
257,sure,8
258,place,7
259,say,7
260,track,7
261,3b,7
262,notice,7
263,towards,7
264,higher,7
265,actually,7
266,benefit,7
267,23,7
268,weird,7
269,fpu,7
270,advise,7
271,officially,7
272,thing,7
273,checking,7
274,better,7
275,murphy,7
276,close,7
277,stay,7
278,full,7
279,mother,7
280,phone,7
281,leave,7
282,decision,7
283,advisor,7
284,change,7
285,look,7
286,100,7
287,deciding,7
288,figure,7
289,reward,7
290,considering,7
291,age,7
292,return,7
293,limit,7
294,havent,7
295,already,7
296,repair,6
297,yet,6
298,wont,6
299,bs6,6
300,graduate,6
301,future,6
302,simple,6
303,build,6
304,let,6
305,envelope,6
306,line,6
307,low,6
308,hit,6
309,kind,6
310,goal,6
311,something,6
312,married,6
313,proceed,6
314,pretty,6
315,19,6
316,left,6
317,sense,6
318,used,6
319,wrong,6
320,share,6
321,young,6
322,12,6
323,charge,6
324,term,6
325,method,6
326,told,6
327,consolidation,6
328,big,6
329,date,6
330,soon,6
331,minimum,6
332,quitting,6
333,education,6
334,detail,6
335,progress,6
336,spouse,6
337,millionaire,6
338,giving,6
339,last,6
340,asking,6
341,price,6
342,manage,6
343,primary,6
344,affect,6
345,form,6
346,applying,5
347,continue,5
348,planning,5
349,apply,5
350,decent,5
351,large,5
352,mistake,5
353,potential,5
354,9,5
355,husband,5
356,agency,5
357,healthcare,5
358,love,5
359,ahead,5
360,multiple,5
361,talk,5
362,sinking,5
363,stuck,5
364,max,5
365,american,5
366,called,5
367,also,5
368,wondering,5
369,always,5
370,goodbye,5
371,apr,5
372,scam,5
373,current,5
374,engineer,5
375,yield,5
376,repayment,5
377,possible,5
378,dumb,5
379,child,5
380,renting,5
381,spending,5
382,partner,5
383,currently,5
384,100k,5
385,abroad,5
386,ok,5
387,kid,5
388,everyday,5
389,file,5
390,increase,5
391,fidelity,5
392,name,5
393,30,5
394,dropped,5
395,bit,5
396,set,5
397,closing,5
398,opening,5
399,sent,5
400,25,5
401,wise,5
402,turn,5
403,403b,5
404,youre,5
405,replace,5
406,financing,5
407,wait,5
408,thought,5
409,heloc,5
410,pick,5
411,mutual,5
412,traditional,5
413,warranty,5
414,refund,5
415,completed,5
416,apartment,5
417,dispute,5
418,story,5
419,may,5
420,karma,5
421,begin,5
422,per,4
423,try,4
424,identity,4
425,delinquent,4
426,poor,4
427,fraudulent,4
428,filed,4
429,accident,4
430,june,4
431,part,4
432,contractor,4
433,country,4
434,screwed,4
435,purchasing,4
436,tsp,4
437,read,4
438,confused,4
439,lost,4
440,amount,4
441,brokerage,4
442,fix,4
443,journey,4
444,handle,4
445,withholding,4
446,saved,4
447,unsure,4
448,pmi,4
449,adult,4
450,expensive,4
451,2nd,4
452,bachelor,4
453,degree,4
454,10,4
455,given,4
456,almost,4
457,personality,4
458,system,4
459,implication,4
460,deductible,4
461,owner,4
462,dream,4
463,control,4
464,couple,4
465,calculator,4
466,tired,4
467,ever,4
468,keeping,4
469,contract,4
470,contribute,4
471,bought,4
472,1st,4
473,serious,4
474,rid,4
475,dental,4
476,cap,4
477,period,4
478,later,4
479,sum,4
480,related,4
481,single,4
482,ready,4
483,trade,4
484,ask,4
485,based,4
486,traveling,4
487,around,4
488,visual,4
489,putting,4
490,buyout,4
491,7,4
492,closed,4
493,le,4
494,problem,4
495,independent,4
496,cheapest,4
497,come,4
498,assistance,4
499,terrible,4
500,50,4
501,21,4
502,housing,4
503,process,4
504,entering,4
505,1000,4
506,stupid,4
507,portfolio,4
508,whole,4
509,creating,4
510,choosing,4
511,settlement,4
512,guy,4
513,office,4
514,policy,4
515,calculation,4
516,six,4
517,rule,4
518,everydollar,4
519,premium,4
520,value,4
521,20k,4
522,app,4
523,store,4
524,2019,4
525,though,4
526,taxed,4
527,hospital,4
528,water,4
529,union,4
530,service,4
531,early,4
532,hard,4
533,understanding,4
534,claim,4
535,podcast,3
536,follow,3
537,youve,3
538,required,3
539,issue,3
540,four,3
541,bond,3
542,hurt,3
543,amex,3
544,tackle,3
545,existing,3
546,receiving,3
547,level,3
548,missing,3
549,twice,3
550,22,3
551,va,3
552,955988,3
553,flow,3
554,focus,3
555,reddit,3
556,motivated,3
557,person,3
558,surgery,3
559,could,3
560,thats,3
561,tx,3
562,fsa,3
563,graduated,3
564,lender,3
565,inherited,3
566,mess,3
567,huge,3
568,travel,3
569,additional,3
570,3k,3
571,math,3
572,girlfriend,3
573,add,3
574,average,3
575,seems,3
576,dealer,3
577,dealership,3
578,party,3
579,yo,3
580,important,3
581,within,3
582,many,3
583,sold,3
584,index,3
585,split,3
586,experience,3
587,risk,3
588,break,3
589,18,3
590,management,3
591,variable,3
592,city,3
593,25k,3
594,tuition,3
595,breakdown,3
596,food,3
597,slightly,3
598,allocation,3
599,impatient,3
600,needing,3
601,contributing,3
602,truck,3
603,excess,3
604,mine,3
605,secured,3
606,divorce,3
607,financed,3
608,opened,3
609,thankful,3
610,ssn,3
611,victory,3
612,recently,3
613,master,3
614,struggling,3
615,coming,3
616,plus,3
617,pizza,3
618,anything,3
619,waiting,3
620,list,3
621,gift,3
622,grocery,3
623,pull,3
624,forgiveness,3
625,flair,3
626,brother,3
627,hi,3
628,losing,3
629,podcasts,3
630,leverage,3
631,crisis,3
632,5k,3
633,motivation,3
634,area,3
635,doesnt,3
636,stop,3
637,quick,3
638,changing,3
639,mail,3
640,great,3
641,offered,3
642,hogan,3
643,ally,3
644,quote,3
645,finding,3
646,pocket,3
647,chris,3
648,sitting,3
649,529,3
650,father,3
651,broke,3
652,employee,3
653,discouraged,3
654,happens,3
655,away,3
656,id,3
657,buyer,3
658,totally,3
659,estimated,3
660,hope,3
661,night,3
662,finished,3
663,federal,3
664,choice,3
665,hour,3
666,driver,3
667,hear,3
668,mode,3
669,co,3
670,changed,3
671,cancel,3
672,mastercard,3
673,etf,3
674,cheap,3
675,fault,3
676,tithing,3
677,reading,3
678,50k,3
679,run,3
680,halfway,3
681,behind,3
682,conversion,3
683,30k,3
684,inside,3
685,maximize,3
686,everything,3
687,inheritance,3
688,building,3
689,amazon,3
690,prime,3
691,pslf,3
692,hold,3
693,mean,3
694,w2,3
695,provider,3
696,resource,3
697,settling,3
698,offering,3
699,summer,3
700,requesting,3
701,foreign,3
702,count,3
703,willing,3
704,calculate,3
705,8,3
706,gap,3
707,leaving,3
708,hate,3
709,info,3
710,ca,3
711,went,3
712,ticket,3
713,10000,3
714,came,3
715,uni,2
716,filing,2
717,cryptocurrency,2
718,toward,2
719,chart,2
720,allowance,2
721,70k,2
722,guidance,2
723,adverse,2
724,withdraw,2
725,specific,2
726,team,2
727,nearly,2
728,cosigner,2
729,refi,2
730,fully,2
731,minor,2
732,matter,2
733,realistic,2
734,houston,2
735,said,2
736,earned,2
737,rant,2
738,causing,2
739,half,2
740,150,2
741,upcoming,2
742,incoming,2
743,maxing,2
744,000,2
745,contacting,2
746,damage,2
747,answer,2
748,picking,2
749,expected,2
750,external,2
751,reasoning,2
752,attempt,2
753,theft,2
754,wealth,2
755,government,2
756,together,2
757,reported,2
758,location,2
759,preparing,2
760,delinquency,2
761,frustrated,2
762,upside,2
763,fill,2
764,able,2
765,disability,2
766,fire,2
767,article,2
768,equity,2
769,magazine,2
770,messed,2
771,spend,2
772,collect,2
773,who,2
774,14,2
775,brand,2
776,avoid,2
777,expecting,2
778,dependent,2
779,trad,2
780,lose,2
781,window,2
782,microsoft,2
783,negative,2
784,13k,2
785,principal,2
786,dent,2
787,worry,2
788,dead,2
789,send,2
790,lending,2
791,utilization,2
792,modern,2
793,alliant,2
794,incredibly,2
795,biz,2
796,junk,2
797,trust,2
798,warning,2
799,70,2
800,managing,2
801,everyone,2
802,ipo,2
803,helping,2
804,category,2
805,weekend,2
806,nyc,2
807,initial,2
808,met,2
809,engagement,2
810,pre,2
811,payday,2
812,bs7,2
813,pretax,2
814,direct,2
815,sooner,2
816,leasing,2
817,deduction,2
818,dilemma,2
819,stability,2
820,double,2
821,since,2
822,qualify,2
823,thread,2
824,led,2
825,user,2
826,showing,2
827,marriage,2
828,skipping,2
829,project,2
830,asap,2
831,mil,2
832,million,2
833,thank,2
834,activity,2
835,dig,2
836,doubling,2
837,adding,2
838,general,2
839,teacher,2
840,chase,2
841,canadian,2
842,express,2
843,present,2
844,earn,2
845,guilty,2
846,longer,2
847,wavering,2
848,cruise,2
849,authorized,2
850,website,2
851,mountain,2
852,horrible,2
853,immediately,2
854,hcol,2
855,base,2
856,ugh,2
857,local,2
858,accidentally,2
859,isnt,2
860,zelle,2
861,graduating,2
862,post,2
863,amending,2
864,short,2
865,2012,2
866,500,2
867,reduce,2
868,3500,2
869,quit,2
870,26,2
871,light,2
872,quickly,2
873,basic,2
874,lump,2
875,morgage,2
876,via,2
877,throwing,2
878,number,2
879,taken,2
880,product,2
881,cell,2
882,totaled,2
883,anybody,2
884,rabbit,2
885,smartest,2
886,confusion,2
887,2020,2
888,reporting,2
889,exact,2
890,removal,2
891,usd,2
892,fear,2
893,customer,2
894,cancelling,2
895,onto,2
896,figuring,2
897,rest,2
898,usa,2
899,delete,2
900,switch,2
901,exempt,2
902,grow,2
903,estimate,2
904,killing,2
905,inflation,2
906,cashout,2
907,might,2
908,didnt,2
909,cpa,2
910,completely,2
911,aware,2
912,taught,2
913,eligible,2
914,size,2
915,ill,2
916,impact,2
917,seeking,2
918,ubereats,2
919,scream,2
920,vtsax,2
921,transition,2
922,suv,2
923,road,2
924,truly,2
925,freelancer,2
926,faster,2
927,status,2
928,grandparent,2
929,class,2
930,interested,2
931,defined,2
932,absolute,2
933,election,2
934,king,2
935,fico,2
936,beginner,2
937,security,2
938,position,2
939,betterment,2
940,possibly,2
941,type,2
942,makeover,2
943,word,2
944,youtube,2
945,video,2
946,glad,2
947,noob,2
948,world,2
949,learn,2
950,joint,2
951,verify,2
952,followed,2
953,bs456,2
954,chunk,2
955,wanting,2
956,bofa,2
957,tree,2
958,rolled,2
959,coverage,2
960,target,2
961,series,2
962,necessary,2
963,win,2
964,late,2
965,28,2
966,fresh,2
967,including,2
968,anti,2
969,negotiate,2
970,annual,2
971,profit,2
972,america,2
973,smart,2
974,broken,2
975,license,2
976,stolen,2
977,steam,2
978,event,2
979,failed,2
980,joining,2
981,gazelle,2
982,talked,2
983,increasing,2
984,others,2
985,request,2
986,solo,2
987,legit,2
988,scholarship,2
989,address,2
990,mid,2
991,charged,2
992,acknowledge,2
993,landlord,2
994,alternative,2
995,downpayment,2
996,covered,2
997,lot,2
998,winning,2
999,luck,2
1000,cd,2
1001,banking,2
1002,anymore,2
1003,accounting,2
1004,urgent,2
1005,gig,2
1006,basis,2
1007,teen,2
1008,instead,2
1009,voluntary,2
1010,wish,2
1011,delivery,2
1012,university,2
1013,victim,2
1014,speeding,2
1015,opportunity,2
1016,stuff,2
1017,yr,2
1018,etc,2
1019,learning,2
1020,ac,2
1021,complete,2
1022,spare,2
1023,53,2
1024,maybe,2
1025,fit,2
1026,quarterly,2
1027,wit,2
1028,sink,2
1029,intern,2
1030,inquiry,2
1031,reason,2
1032,finish,2
1033,adjusting,2
1034,wash,2
1035,ef,2
1036,spot,2
1037,ssi,2
1038,educate,2
1039,history,2
1040,disabled,2
1041,abandon,2
1042,9k,2
1043,clueless,2
1044,switching,2
1045,write,2
1046,1k,2
1047,south,2
1048,useful,2
1049,intro,2
1050,hvac,2
1051,three,2
1052,cover,2
1053,3rd,2
1054,separate,2
1055,bonus,2
1056,tomorrow,2
1057,strike,2
1058,penalty,2
1059,recommend,2
1060,bye,2
1061,worker,2
1062,sewer,2
1063,non,2
1064,teenager,2
1065,fake,2
1066,consolidating,2
1067,phd,2
1068,charging,2
1069,heard,2
1070,preapproved,2
1071,fixed,2
1072,gave,2
1073,visited,2
1074,throughout,2
1075,support,2
1076,refusing,2
1077,11,2
1078,fafsa,2
1079,considered,2
1080,commute,2
1081,input,2
1082,contact,2
1083,intense,2
1084,listen,2
1085,sign,2
1086,llc,2
1087,title,2
1088,firm,2
1089,listening,2
1090,text,2
1091,1099,2
1092,likely,2
1093,subscription,2
1094,espp,2
1095,took,2
1096,compensation,2
1097,donation,2
1098,earning,2
1099,gas,2
1100,prepare,2
1101,favorite,2
1102,felt,2
1103,15year,2
1104,street,2
1105,passed,2
1106,training,2
1107,normal,2
1108,2k,2
1109,wall,2
1110,coach,2
1111,shop,2
1112,iragtroth,1
1113,forgiven,1
1114,ignore,1
1115,jobless,1
1116,21st,1
1117,recasting,1
1118,unique,1
1119,helicopter,1
1120,software,1
1121,escaping,1
1122,chance,1
1123,permanently,1
1124,century,1
1125,meet,1
1126,shared,1
1127,clutch,1
1128,ama,1
1129,changeunwarranted,1
1130,narrative,1
1131,stating,1
1132,rentutilities,1
1133,trackmanage,1
1134,dating,1
1135,carrying,1
1136,hcsa,1
1137,apps,1
1138,resolve,1
1139,survives,1
1140,table,1
1141,caller,1
1142,recognize,1
1143,potentially,1
1144,mentor,1
1145,transmission,1
1146,chicagoland,1
1147,315355,1
1148,watch,1
1149,cancer,1
1150,careful,1
1151,unemployed,1
1152,anyways,1
1153,stepsexactly,1
1154,producing,1
1155,residence,1
1156,faced,1
1157,eventual,1
1158,recovered,1
1159,therehow,1
1160,bs6ers,1
1161,proactive,1
1162,ramseysolutions,1
1163,connectionresumecover,1
1164,momentum,1
1165,rolling,1
1166,autocross,1
1167,hacked,1
1168,firing,1
1169,14237,1
1170,embarking,1
1171,friday,1
1172,1610614,1
1173,hotel,1
1174,happy,1
1175,couch,1
1176,advicemotivation,1
1177,reaching,1
1178,rut,1
1179,application,1
1180,wasnt,1
1181,delivering,1
1182,concern,1
1183,low600s,1
1184,5000,1
1185,wagon,1
1186,fell,1
1187,either,1
1188,matching,1
1189,racing,1
1190,coaching,1
1191,solid,1
1192,eventually,1
1193,shot,1
1194,establishing,1
1195,23y,1
1196,45k,1
1197,roof,1
1198,pause,1
1199,ruined,1
1200,ambulance,1
1201,19070,1
1202,cue,1
1203,doubled,1
1204,looming,1
1205,collector,1
1206,perspective,1
1207,42655,1
1208,aiming,1
1209,cardsbank,1
1210,775,1
1211,recommends,1
1212,gross,1
1213,wanted,1
1214,passive,1
1215,220,1
1216,room,1
1217,breathing,1
1218,park,1
1219,solidify,1
1220,solely,1
1221,intensity,1
1222,redistributing,1
1223,997,1
1224,66000,1
1225,significantly,1
1226,leaking,1
1227,dishwasher,1
1228,lowinterest,1
1229,reccomend,1
1230,amazing,1
1231,contracttohire,1
1232,prior,1
1233,40000,1
1234,shack,1
1235,fundamental,1
1236,tool,1
1237,information,1
1238,timebarred,1
1239,meme,1
1240,suggest,1
1241,marrying,1
1242,head,1
1243,sharing,1
1244,interestfree,1
1245,relocate,1
1246,ass,1
1247,bos,1
1248,ministry,1
1249,mostly,1
1250,sensitive,1
1251,contributionsroth,1
1252,placed,1
1253,lien,1
1254,august,1
1255,multi,1
1256,tactic,1
1257,everdollar,1
1258,motorcycle,1
1259,harley,1
1260,23400,1
